bwg_name,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,day,bromeliad_id,size_original,when,country,abundance,bromspecies,predator,resource,biomass_type,stage,size_used_mm,biomass_mg,ci_lwr,ci_upr,path
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E12,4,start,trini,1,guzmania_sp,absent,control,dry,larva,4,0.07189,0.06135,0.08424,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E8,5,start,trini,1,vriesea_sp,absent,control,dry,larva,5,0.1241,0.11,0.14,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E8,6,start,trini,1,vriesea_sp,absent,control,dry,larva,6,0.1938,0.1681,0.2234,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E8,4,start,trini,1,vriesea_sp,absent,control,dry,larva,4,0.07189,0.06135,0.08424,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E15,6,start,trini,1,guzmania_sp,absent,control,dry,larva,6,0.1938,0.1681,0.2234,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E3,3,start,trini,1,guzmania_sp,absent,control,dry,larva,3,0.03557,0.02744,0.0461,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E3,6,start,trini,1,guzmania_sp,absent,control,dry,larva,6,0.1938,0.1681,0.2234,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E12,2,start,trini,1,guzmania_sp,absent,control,dry,larva,2,0.01319,0.008618,0.02019,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E13,6,start,trini,1,guzmania_sp,absent,control,dry,larva,6,0.1938,0.1681,0.2234,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E19,2,start,trini,1,guzmania_sp,absent,enriched,dry,larva,2,0.01319,0.008618,0.02019,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E15,5,start,trini,1,guzmania_sp,absent,control,dry,larva,5,0.1241,0.11,0.14,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E8,3,start,trini,1,vriesea_sp,absent,control,dry,larva,3,0.03557,0.02744,0.0461,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E3,5,start,trini,1,guzmania_sp,absent,control,dry,larva,5,0.1241,0.11,0.14,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E25,7,start,trini,1,vriesea_sp,absent,enriched,dry,larva,7,0.2826,0.2343,0.3408,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E25,8,start,trini,1,vriesea_sp,absent,enriched,dry,larva,8,0.3918,0.3096,0.4957,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E28,small,start,trini,1,vriesea_sp,absent,enriched,dry,larva,3.59813953488372,0.05549,0.04578,0.06724,BIN:bwg_name_129-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E25,5,start,trini,1,vriesea_sp,absent,enriched,dry,larva,5,0.1241,0.11,0.14,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E3,5,start,trini,1,guzmania_sp,absent,control,dry,larva,5,0.1241,0.11,0.14,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E30,small,start,trini,1,vriesea_sp,absent,enriched,dry,larva,3.59813953488372,0.05549,0.04578,0.06724,BIN:bwg_name_129-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,04/11/2022,E6,2.8,end,trini,1,guzmania_sp,absent,control,dry,larva,2.8,0.03004,0.02256,0.04002,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E8,5,start,trini,1,vriesea_sp,absent,control,dry,larva,5,0.1241,0.11,0.14,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E32,small,start,trini,1,guzmania_sp,absent,enriched,dry,larva,3.59813953488372,0.05549,0.04578,0.06724,BIN:bwg_name_129-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E32,small,start,trini,1,guzmania_sp,absent,enriched,dry,larva,3.59813953488372,0.05549,0.04578,0.06724,BIN:bwg_name_129-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,04/11/2022,E6,3.84,end,trini,1,guzmania_sp,absent,control,dry,larva,NA,0.04,NA,NA,NA
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E19,5,start,trini,1,guzmania_sp,absent,enriched,dry,larva,5,0.1241,0.11,0.14,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,04/11/2022,E6,3.74,end,trini,1,guzmania_sp,absent,control,dry,larva,3.74,0.06099,0.05098,0.07296,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,04/11/2022,E6,3.8,end,trini,1,guzmania_sp,absent,control,dry,larva,3.8,0.06341,0.05328,0.07547,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E6,6,start,trini,1,guzmania_sp,absent,control,dry,larva,6,0.1938,0.1681,0.2234,raw_size-AE:bwg_name_dry
new_19,Eukaryota,Animalia,Arthropoda,NA,Hexapoda,Neoptera,Coleoptera,NA,Scirtidae,NA,NA,Scirtes,sp1,06/10/2022,E31,small,start,trini,1,guzmania_sp,absent,enriched,dry,larva,3.59813953488372,0.05549,0.04578,0.06724,BIN:bwg_name_129-AE:bwg_name_dry
